table,field,type,unit,description,source_field
artists,isnis[],str,,,isnis[]
artists,life-span,dict,,,life-span
artists,life-span.begin,str,date,Date in YYYY-MM-DD when available,life-span.begin
artists,life-span.end,nonetype,date,Date in YYYY-MM-DD when available,life-span.end
artists,life-span.end,str,date,Date in YYYY-MM-DD when available,life-span.end
artists,life-span.ended,bool,,,life-span.ended
artists,life-span.ended,nonetype,,,life-span.ended
artists,name,str,,Display name or title,name
artists,relations,list,,,relations
artists,relations[],dict,,,relations[]
artists,relations[].attribute-ids,dict,,,relations[].attribute-ids
artists,relations[].attribute-values,dict,,,relations[].attribute-values
artists,relations[].attributes,list,,,relations[].attributes
artists,relations[].attributes[],list(empty),,,relations[].attributes[]
artists,relations[].begin,nonetype,date,Date in YYYY-MM-DD when available,relations[].begin
artists,relations[].direction,str,,,relations[].direction
artists,relations[].end,nonetype,date,Date in YYYY-MM-DD when available,relations[].end
artists,relations[].ended,bool,,,relations[].ended
artists,relations[].source-credit,str,,,relations[].source-credit
artists,relations[].target-credit,str,,,relations[].target-credit
artists,relations[].target-type,str,,Target entity type for relation,relations[].target-type
artists,relations[].type,str,,"Relationship type (e.g., official homepage)",relations[].type
artists,relations[].type-id,str,,,relations[].type-id
artists,relations[].url,dict,,,relations[].url
artists,relations[].url.id,str,uuid,Primary or foreign key MBID (UUID),relations[].url.id
artists,relations[].url.resource,str,,,relations[].url.resource
artists,score,int,,,score
artists,sort-name,str,,Name used for sorting,sort-name
artists,tags,list,,,tags
artists,tags[],dict,,,tags[]
artists,tags[].count,int,,Tag vote count,tags[].count
artists,tags[].name,str,,Free tag label,tags[].name
artists,type,str,,"Entity type from MusicBrainz (e.g., person, group, album)",type
artists,type-id,str,uuid,Type UUID in MusicBrainz,type-id
recordings,artist-credit,list,,,artist-credit
recordings,artist-credit[],dict,,,artist-credit[]
recordings,artist-credit[].artist,dict,,,artist-credit[].artist
recordings,artist-credit[].artist.country,str,ISO-2,Country code (ISO-3166-1 alpha-2),artist-credit[].artist.country
recordings,artist-credit[].artist.disambiguation,str,,,artist-credit[].artist.disambiguation
recordings,artist-credit[].artist.id,str,uuid,Primary or foreign key MBID (UUID),artist-credit[].artist.id
recordings,artist-credit[].artist.name,str,,,artist-credit[].artist.name
recordings,artist-credit[].artist.sort-name,str,,,artist-credit[].artist.sort-name
recordings,artist-credit[].artist.type,str,,,artist-credit[].artist.type
recordings,artist-credit[].artist.type-id,str,,,artist-credit[].artist.type-id
recordings,artist-credit[].joinphrase,str,,,artist-credit[].joinphrase
recordings,artist-credit[].name,str,,,artist-credit[].name
recordings,disambiguation,str,,Short comment to distinguish similar entities,disambiguation
recordings,first-release-date,str,date,First release date for the group (YYYY-MM-DD),first-release-date
recordings,id,str,uuid,Primary MBID (MusicBrainz UUID),id
recordings,length,int,ms,Recording or track length in milliseconds,length
recordings,length,nonetype,ms,Recording or track length in milliseconds,length
recordings,recordings,dict,,,recordings
recordings,relations,list,,,relations
recordings,relations[],dict,,,relations[]
recordings,relations[],list(empty),,,relations[]
recordings,relations[].attribute-ids,dict,,,relations[].attribute-ids
recordings,relations[].attribute-ids.live,str,,,relations[].attribute-ids.live
recordings,relations[].attribute-values,dict,,,relations[].attribute-values
recordings,relations[].attributes,list,,,relations[].attributes
recordings,relations[].attributes[],list(empty),,,relations[].attributes[]
recordings,relations[].attributes[],str,,,relations[].attributes[]
recordings,relations[].begin,nonetype,date,Date in YYYY-MM-DD when available,relations[].begin
recordings,relations[].begin,str,date,Date in YYYY-MM-DD when available,relations[].begin
recordings,relations[].direction,str,,,relations[].direction
recordings,relations[].end,nonetype,date,Date in YYYY-MM-DD when available,relations[].end
recordings,relations[].end,str,date,Date in YYYY-MM-DD when available,relations[].end
recordings,relations[].ended,bool,,,relations[].ended
recordings,relations[].source-credit,str,,,relations[].source-credit
recordings,relations[].target-credit,str,,,relations[].target-credit
recordings,relations[].target-type,str,,Target entity type for relation,relations[].target-type
recordings,relations[].type,str,,"Relationship type (e.g., official homepage)",relations[].type
recordings,relations[].type-id,str,,,relations[].type-id
recordings,relations[].work,dict,,,relations[].work
recordings,relations[].work.attributes,list,,,relations[].work.attributes
recordings,relations[].work.attributes[],list(empty),,,relations[].work.attributes[]
recordings,relations[].work.disambiguation,str,,,relations[].work.disambiguation
recordings,relations[].work.id,str,uuid,Primary or foreign key MBID (UUID),relations[].work.id
recordings,relations[].work.iswcs,list,,,relations[].work.iswcs
recordings,relations[].work.iswcs[],str,,,relations[].work.iswcs[]
recordings,relations[].work.language,str,,,relations[].work.language
recordings,relations[].work.languages,list,,,relations[].work.languages
recordings,relations[].work.languages[],str,,,relations[].work.languages[]
recordings,relations[].work.title,str,,,relations[].work.title
recordings,relations[].work.type,str,,,relations[].work.type
recordings,relations[].work.type-id,str,,,relations[].work.type-id
recordings,title,str,,Title,title
recordings,video,bool,,Flag indicating a video recording,video
release_groups,disambiguation,str,,Short comment to distinguish similar entities,disambiguation
release_groups,first-release-date,str,date,First release date for the group (YYYY-MM-DD),first-release-date
release_groups,genres,list,,,genres
release_groups,genres[],dict,,,genres[]
release_groups,genres[].count,int,,Genre vote count,genres[].count
release_groups,genres[].disambiguation,str,,,genres[].disambiguation
release_groups,genres[].id,str,uuid,Primary or foreign key MBID (UUID),genres[].id
release_groups,genres[].name,str,,Genre label,genres[].name
release_groups,id,str,uuid,Primary MBID (MusicBrainz UUID),id
release_groups,primary-type,str,,Primary release-group type (Album/Single/EP/etc.),primary-type
release_groups,primary-type-id,str,,,primary-type-id
release_groups,release_groups,dict,,,release_groups
release_groups,secondary-type-ids,list,,,secondary-type-ids
release_groups,secondary-type-ids[],list(empty),,,secondary-type-ids[]
release_groups,secondary-type-ids[],str,,,secondary-type-ids[]
release_groups,secondary-types,list,,,secondary-types
release_groups,secondary-types[],list(empty),,,secondary-types[]
release_groups,secondary-types[],str,,,secondary-types[]
release_groups,tags,list,,,tags
release_groups,tags[],dict,,,tags[]
release_groups,tags[].count,int,,Tag vote count,tags[].count
release_groups,tags[].name,str,,Free tag label,tags[].name
release_groups,title,str,,Title,title
releases,asin,nonetype,,,asin
releases,asin,str,,,asin
releases,barcode,nonetype,,Barcode for a release,barcode
releases,barcode,str,,Barcode for a release,barcode
releases,country,str,ISO-2,Release country code,country
releases,cover-art-archive,dict,,,cover-art-archive
releases,cover-art-archive.artwork,bool,,,cover-art-archive.artwork
releases,cover-art-archive.back,bool,,,cover-art-archive.back
releases,cover-art-archive.count,int,,,cover-art-archive.count
releases,cover-art-archive.darkened,bool,,,cover-art-archive.darkened
releases,cover-art-archive.front,bool,,,cover-art-archive.front
releases,date,str,date,Release date (YYYY-MM-DD),date
releases,disambiguation,str,,Short comment to distinguish similar entities,disambiguation
releases,id,str,uuid,Primary MBID (MusicBrainz UUID),id
releases,label-info,list,,,label-info
releases,label-info[],dict,,,label-info[]
releases,label-info[],list(empty),,,label-info[]
releases,label-info[].catalog-number,nonetype,,,label-info[].catalog-number
releases,label-info[].catalog-number,str,,,label-info[].catalog-number
releases,label-info[].label,dict,,,label-info[].label
releases,label-info[].label.disambiguation,str,,,label-info[].label.disambiguation
releases,label-info[].label.id,str,uuid,Primary or foreign key MBID (UUID),label-info[].label.id
releases,label-info[].label.label-code,int,,,label-info[].label.label-code
releases,label-info[].label.name,str,,,label-info[].label.name
releases,label-info[].label.sort-name,str,,,label-info[].label.sort-name
releases,label-info[].label.type,str,,,label-info[].label.type
releases,label-info[].label.type-id,str,,,label-info[].label.type-id
releases,media,list,,,media
releases,media[],dict,,,media[]
releases,media[].format,nonetype,,,media[].format
releases,media[].format,str,,,media[].format
releases,media[].format-id,nonetype,,,media[].format-id
releases,media[].format-id,str,,,media[].format-id
releases,media[].id,str,uuid,Primary or foreign key MBID (UUID),media[].id
releases,media[].position,int,,,media[].position
releases,media[].title,str,,,media[].title
releases,media[].track-count,int,,,media[].track-count
releases,media[].track-offset,int,,,media[].track-offset
releases,media[].tracks,list,,,media[].tracks
releases,media[].tracks[],dict,,,media[].tracks[]
releases,media[].tracks[].id,str,uuid,Primary or foreign key MBID (UUID),media[].tracks[].id
releases,media[].tracks[].length,int,ms,Duration in milliseconds,media[].tracks[].length
releases,media[].tracks[].number,str,,,media[].tracks[].number
releases,media[].tracks[].position,int,,,media[].tracks[].position
releases,media[].tracks[].recording,dict,,,media[].tracks[].recording
releases,media[].tracks[].recording.disambiguation,str,,,media[].tracks[].recording.disambiguation
releases,media[].tracks[].recording.first-release-date,str,date,Date in YYYY-MM-DD when available,media[].tracks[].recording.first-release-date
releases,media[].tracks[].recording.id,str,uuid,Primary or foreign key MBID (UUID),media[].tracks[].recording.id
releases,media[].tracks[].recording.length,int,ms,Duration in milliseconds,media[].tracks[].recording.length
releases,media[].tracks[].recording.title,str,,,media[].tracks[].recording.title
releases,media[].tracks[].recording.video,bool,,,media[].tracks[].recording.video
releases,media[].tracks[].title,str,,,media[].tracks[].title
releases,packaging,nonetype,,,packaging
releases,packaging,str,,,packaging
releases,packaging-id,nonetype,,,packaging-id
releases,packaging-id,str,,,packaging-id
releases,quality,str,,,quality
releases,release-events,list,,,release-events
releases,release-events[],dict,,,release-events[]
releases,release-events[].area,dict,,,release-events[].area
releases,release-events[].area.disambiguation,str,,,release-events[].area.disambiguation
releases,release-events[].area.id,str,uuid,Primary or foreign key MBID (UUID),release-events[].area.id
releases,release-events[].area.iso-3166-1-codes,list,,,release-events[].area.iso-3166-1-codes
releases,release-events[].area.iso-3166-1-codes[],str,,,release-events[].area.iso-3166-1-codes[]
releases,release-events[].area.name,str,,,release-events[].area.name
releases,release-events[].area.sort-name,str,,,release-events[].area.sort-name
releases,release-events[].area.type,nonetype,,,release-events[].area.type
releases,release-events[].area.type-id,nonetype,,,release-events[].area.type-id
releases,release-events[].date,str,date,Date in YYYY-MM-DD when available,release-events[].date
releases,releases,dict,,,releases
releases,status,str,,"Release status (e.g., Official, Promotion)",status
releases,status-id,str,,,status-id
releases,text-representation,dict,,,text-representation
releases,text-representation.language,str,,,text-representation.language
releases,text-representation.script,nonetype,,,text-representation.script
releases,text-representation.script,str,,,text-representation.script
releases,title,str,,Title,title
tracks,id,str,uuid,Primary MBID (MusicBrainz UUID),id
tracks,length,int,ms,Recording or track length in milliseconds,length
tracks,number,str,,,number
tracks,position,int,,Track position within medium,position
tracks,recording,dict,,,recording
tracks,recording.disambiguation,str,,,recording.disambiguation
tracks,recording.first-release-date,str,date,Date in YYYY-MM-DD when available,recording.first-release-date
tracks,recording.id,str,uuid,Primary or foreign key MBID (UUID),recording.id
tracks,recording.length,int,ms,Duration in milliseconds,recording.length
tracks,recording.title,str,,,recording.title
tracks,recording.video,bool,,,recording.video
tracks,title,str,,Title,title
tracks,tracks,dict,,,tracks
